2024-07-12 14:38:10.719 [info] Log level: Info
2024-07-12 14:38:10.719 [info] Validating found git in: "git"
2024-07-12 14:38:10.719 [info] Using git "2.34.1" from "git"
2024-07-12 14:38:10.719 [info] > git rev-parse --show-toplevel [50ms]
2024-07-12 14:38:10.721 [info] > git rev-parse --show-toplevel [3ms]
2024-07-12 14:38:10.725 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 14:38:10.728 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:38:10.732 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:38:10.735 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:38:10.740 [info] > git rev-parse --show-toplevel [3ms]
2024-07-12 14:38:10.910 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:38:12.898 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:38:14.095 [info] > git rev-parse --show-toplevel [9ms]
2024-07-12 14:38:15.075 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:38:15.976 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:38:16.954 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:38:17.911 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:38:18.771 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 14:38:25.973 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:38:44.209 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:38:45.102 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 14:38:47.874 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 14:38:52.391 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 14:38:54.167 [info] > git rev-parse --show-toplevel [4ms]
2024-07-12 14:52:35.887 [info] > git rev-parse --show-toplevel [3ms]
2024-07-12 14:52:37.836 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:53:04.492 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 14:53:10.119 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 14:53:38.865 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 14:55:17.576 [info] > git rev-parse --show-toplevel [3ms]
2024-07-12 15:00:25.918 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:00:26.656 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 15:00:31.724 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:00:34.867 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 15:00:40.083 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 15:00:52.236 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:00:55.890 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:01:18.170 [info] > git rev-parse --show-toplevel [3ms]
2024-07-12 15:01:21.030 [info] > git rev-parse --show-toplevel [0ms]
2024-07-12 15:01:21.508 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:05:46.164 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:05:56.346 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:06:03.799 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:06:13.527 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:12:55.162 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:19:15.712 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:19:16.013 [info] > git rev-parse --show-toplevel [3ms]
2024-07-12 15:19:18.193 [info] > git rev-parse --show-toplevel [3ms]
2024-07-12 15:19:19.817 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:52:29.563 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 15:55:18.778 [info] > git rev-parse --show-toplevel [7ms]
2024-07-12 16:10:03.309 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 16:10:48.874 [info] > git rev-parse --show-toplevel [4ms]
2024-07-12 16:14:21.993 [info] > git rev-parse --show-toplevel [3ms]
2024-07-12 16:29:13.350 [info] > git rev-parse --show-toplevel [2ms]
