2024-07-12 09:29:39.430 [info] Log level: Info
2024-07-12 09:29:39.430 [info] Validating found git in: "git"
2024-07-12 09:29:39.430 [info] Using git "2.34.1" from "git"
2024-07-12 09:29:39.446 [info] > git rev-parse --show-toplevel [14ms]
2024-07-12 09:29:39.450 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 09:29:39.457 [info] > git rev-parse --show-toplevel [4ms]
2024-07-12 09:29:39.475 [info] > git rev-parse --show-toplevel [5ms]
2024-07-12 09:29:39.478 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 09:29:39.482 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 09:29:39.865 [info] > git rev-parse --show-toplevel [381ms]
2024-07-12 09:29:39.872 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 09:29:44.650 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 09:29:45.723 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 09:29:46.713 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 09:29:47.659 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 09:29:48.682 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 11:22:36.573 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 11:22:42.435 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 11:22:46.438 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 11:23:21.745 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 11:23:22.929 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 11:25:13.037 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 11:25:13.623 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 11:25:41.620 [info] > git rev-parse --show-toplevel [3ms]
2024-07-12 11:26:11.470 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 11:26:15.579 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 11:26:50.075 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 11:26:50.551 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 11:26:50.937 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 11:26:51.530 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 11:26:52.816 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 11:26:54.043 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 11:26:55.338 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 11:27:11.943 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 11:27:12.778 [info] > git rev-parse --show-toplevel [2ms]
