2024-07-11 14:44:19.156 [info] Log level: Info
2024-07-11 14:44:19.156 [info] Validating found git in: "git"
2024-07-11 14:44:19.156 [info] Using git "2.34.1" from "git"
2024-07-11 14:44:19.156 [info] > git rev-parse --show-toplevel [86ms]
2024-07-11 14:44:19.157 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:44:19.165 [info] > git rev-parse --show-toplevel [6ms]
2024-07-11 14:44:19.168 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:44:19.172 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:44:19.179 [info] > git rev-parse --show-toplevel [4ms]
2024-07-11 14:44:19.183 [info] > git rev-parse --show-toplevel [2ms]
2024-07-11 14:44:19.440 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:45:16.944 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:45:18.481 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:45:19.984 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:45:21.211 [info] > git rev-parse --show-toplevel [2ms]
2024-07-11 14:45:22.301 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:45:23.375 [info] > git rev-parse --show-toplevel [2ms]
2024-07-11 14:45:34.030 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:45:34.944 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:45:39.286 [info] > git rev-parse --show-toplevel [8ms]
2024-07-11 14:50:51.792 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:51:34.056 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:51:40.806 [info] > git rev-parse --show-toplevel [2ms]
2024-07-11 14:51:41.035 [info] > git rev-parse --show-toplevel [2ms]
2024-07-11 14:51:56.642 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:53:59.791 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 14:58:25.329 [info] > git rev-parse --show-toplevel [2ms]
2024-07-11 15:26:45.150 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 15:26:46.787 [info] > git rev-parse --show-toplevel [1ms]
2024-07-11 15:32:32.460 [info] > git rev-parse --show-toplevel [1ms]
